# Quasi-dynamic assembly motion log
# dt=0.02 s, default_mass=0.05 kg, default_inertia=0.0001 kg m^2
# This is a rigid-body approximation driven by OpenFOAM forces.dat/log loads, with panel fallback only if OpenFOAM loads are unavailable.
step	patch	material	material_source	mass_kg	density_kg_m3	mate_type	freedom_source	Cd	Cs	Cl	CmRoll	CmPitch	CmYaw	Fx_N	Fy_N	Fz_N	Mx_Nm	My_Nm	Mz_Nm	dx_m	dy_m	dz_m	droll_rad	dpitch_rad	dyaw_rad	total_x_m	total_y_m	total_z_m
7	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.30375288	0	-0.16572591	0	0	0	-4.1017906	-0.98964742	-2.3214719	-0.14796963	0.0047192467	0.0028259754	-0.015918499	0.0041319641	-0.011381049	-0.17438839	0.0070365339	-0.00095778083	-0.095002611	0.081713084	-0.097563688
7	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.30518515	0	-0.073251217	0	0	0	-4.1212475	2.2605306	-1.0287519	-0.14855133	-0.0027121471	0.0039053177	-0.016137337	0.011146555	0.0039167171	-0.17437642	0.00087004282	0.0073380883	-0.09534984	0.097435977	0.080976741
7	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.091578194	0	0.00024774728	0	0	0	-2.0321579	-0.33704699	0.0060946418	-0.2313419	0.00040221546	2.8823659e-05	0	0	0	0	0	0	0	0	0
7	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.74737106	0	-0.084219115	0	0	0	-26.405294	0.39788871	-2.9808756	-0.035199724	0.0015142462	0.0013717944	-0.019946786	0.00011569712	-0.0014533895	-0.17359299	-0.013080753	-0.012494381	-0.15988894	-0.00011879449	-0.0043443654
7	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.29821191	0	0.15396965	0	0	0	-4.0237188	0.96466961	2.1565849	-0.14851857	-0.004852533	-0.0024189558	-0.015984099	-0.0041711073	0.011274326	-0.17438625	-0.0070905188	0.00094918551	-0.094735118	-0.081781428	0.097697365
7	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.30104872	0	0.073578228	0	0	0	-4.0635083	-2.2942973	1.0344677	-0.1484185	0.0032168568	-0.0050459351	-0.01590577	-0.011405796	-0.0041126977	-0.17439522	-0.00079618248	-0.0068858264	-0.094866599	-0.097706746	-0.08166838
8	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.29699953	0	-0.090443549	0	0	0	-4.0054596	-1.0655993	-1.2675261	-0.14981549	0.0049130332	0.0021442372	-0.016557515	0.0029571769	-0.010821451	-0.17439724	0.0068624325	-0.0005005562	-0.11156013	0.084670261	-0.10838514
8	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.29066845	0	-0.085573224	0	0	0	-3.9114066	0.95845565	-1.2049731	-0.15529129	-0.00019344614	0.0077311468	-0.016816268	0.010487599	0.0026876382	-0.17436927	0.0007208912	0.0075220053	-0.11216611	0.10792358	0.083664379
8	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.095849222	0	0.00065834833	0	0	0	-2.1411052	0.27427404	0.016211998	-0.22795979	-0.0014581253	6.0121316e-05	0	0	0	0	0	0	0	0	0
8	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.74852802	0	-0.093496788	0	0	0	-26.445534	0.046243685	-3.3101589	-0.035890382	-0.0021303474	0.0024295052	-0.019923479	9.2811614e-05	-0.0017453909	-0.17389142	-0.012592749	-0.0080585408	-0.17981242	-2.5982878e-05	-0.0060897563
8	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.30390377	0	0.069080831	0	0	0	-4.1030003	1.2440248	0.96777776	-0.148871	-0.0055142549	-0.0012783953	-0.016732698	-0.002884103	0.010568764	-0.17439107	-0.007007502	0.00062664243	-0.11146782	-0.084665531	0.10826613
8	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.30795381	0	0.076190685	0	0	0	-4.1609609	-0.75037552	1.073373	-0.1475738	0.00069796699	-0.0074007097	-0.01672168	-0.010567045	-0.0029534719	-0.17438632	-0.00058449498	-0.0071283204	-0.11158828	-0.10827379	-0.084621852
9	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.28606102	0	-0.083814217	0	0	0	-3.8570765	-0.58261398	-1.1759281	-0.14515963	0.0037947815	0.0032961435	-0.017002432	0.002256593	-0.010287132	-0.17440824	0.0065959392	1.6340722e-05	-0.12856256	0.086926854	-0.11867227
