# Per-step geometry/movement diagnostic. If dx/drot stay zero, the motion solver is not moving that part.
step	patch	coeff_source	load_source	force_N	moment_Nm	moved_m	rotated_rad	cofr_x	cofr_y	cofr_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
6	Part_1_6	Part_1_6	OpenFOAM-forces	4.5423997	0.15695785	0.02	0.17453293	-0.11695626	-0.1210767	-0.0015958974	-0.14987427	-0.082077282	-0.13397251	-0.10367062	-0.048084462	0.011206558
7	Part_1_5	Part_1_5	OpenFOAM-forces	4.8159444	0.14807183	0.02	0.17453293	-0.1338613	0.018493275	-0.12085113	-0.16666403	-0.098962966	0.0097080421	0.064570491	-0.13905525	-0.10409507
7	Part_1_4	Part_1_4	OpenFOAM-forces	4.8117575	0.1486274	0.02	0.17453293	-0.13444014	0.15438169	0.028032692	-0.16713725	-0.099523315	0.13789351	0.17268376	0.019161796	0.074036583
7	Part_1_1	Part_1_1	OpenFOAM-forces	2.059928	0.23134225	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
7	Part_1_2	Part_1_2	OpenFOAM-forces	26.575994	0.035258975	0.02	0.17453293	-0.22561529	0.01387975	0.0047724181	-0.23205042	-0.2195789	-0.023507435	0.052451135	-0.030840034	0.044887518
7	Part_1_3	Part_1_3	OpenFOAM-forces	4.6660217	0.14861751	0.02	0.17453293	-0.13374052	0.0057616497	0.16541493	-0.16645614	-0.098847353	-0.04033231	0.014480611	0.14877322	0.18362434
7	Part_1_6	Part_1_6	OpenFOAM-forces	4.7797513	0.14853909	0.02	0.17453293	-0.13372577	-0.13128092	0.016028033	-0.16649329	-0.098828894	-0.14948646	-0.11457225	-0.030080929	0.024765375
8	Part_1_5	Part_1_5	OpenFOAM-forces	4.3342625	0.14991136	0.02	0.17453293	-0.15134199	-0.0016681667	-0.12698112	-0.18399163	-0.11647962	-0.0061467725	0.042644624	-0.15161076	-0.11177706
8	Part_1_4	Part_1_4	OpenFOAM-forces	4.2035341	0.15548374	0.02	0.17453293	-0.15226302	0.1599195	0.0078600742	-0.18479508	-0.11738531	0.14505429	0.1846789	0.0031736256	0.052021525
8	Part_1_1	Part_1_1	OpenFOAM-forces	2.1586617	0.22796446	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
8	Part_1_2	Part_1_2	OpenFOAM-forces	26.651933	0.036035544	0.02	0.17453293	-0.24527273	0.011854963	0.00059542146	-0.25221322	-0.23882085	-0.024992838	0.050982019	-0.034862829	0.04078424
8	Part_1_3	Part_1_3	OpenFOAM-forces	4.395316	0.14897858	0.02	0.17453293	-0.15141606	0.025916026	0.17122832	-0.1839767	-0.11655899	-0.018365833	0.030400335	0.15617652	0.19588408
8	Part_1_6	Part_1_6	OpenFOAM-forces	4.3622	0.1477609	0.02	0.17453293	-0.15140678	-0.13708805	0.036153263	-0.18401697	-0.11654755	-0.16172239	-0.12195299	-0.0081464831	0.040642692
9	Part_1_5	Part_1_5	OpenFOAM-forces	4.074222	0.14524663	0.02	0.17453293	-0.16924534	-0.023254489	-0.12878595	-0.20175399	-0.13447606	-0.023660975	0.020199902	-0.16041979	-0.11365698
9	Part_1_4	Part_1_4	OpenFOAM-forces	4.498416	0.1395218	0.02	0.17453293	-0.17044861	0.16116411	-0.013784947	-0.20283613	-0.13566385	0.14640674	0.19297304	-0.014537602	0.029448208
9	Part_1_1	Part_1_1	OpenFOAM-forces	2.5209356	0.2212439	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
9	Part_1_2	Part_1_2	OpenFOAM-forces	27.874919	0.035703862	0.02	0.17453293	-0.26488868	0.0087177022	-0.0034776368	-0.27227914	-0.25807274	-0.027497322	0.0485002	-0.03892964	0.036658039
